n1	n2	d	scpd
160	320	0.3	0.120214623436193
160	640	0.3	0.158244299694989
160	1280	0.3	0.185165307231437
160	2560	0.3	0.2042161490093
160	5120	0.3	0.217699543789487
320	10	0.3	-0.489292867743876
320	20	0.3	-0.25920438174403
320	40	0.3	-0.103470611197121
320	80	0.3	0.00484583508324815
320	160	0.3	0.0809903137896022
320	320	0.3	0.134779595313819
320	640	0.3	0.172847204626685
320	1280	0.3	0.199724576951548
320	2560	0.3	0.218812013117238
320	5120	0.3	0.232305382951821
640	10	0.3	-0.478239377849681
640	20	0.3	-0.248621608541287
640	40	0.3	-0.0930373517221919
640	80	0.3	0.0151815596837226
640	160	0.3	0.0913203675067387
640	320	0.3	0.145114965249228
640	640	0.3	0.183129931028107
640	1280	0.3	0.210076511189983
