n1	n2	d1	d2	sig1	sig2	sigm	sdir	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	big2
40	20	1	0	0.508559919436052	0.0191339375629406	0.503524672708963	0.508559919436052	0.154078549848943	0.0704934541792548	0.442094662638469	0.230614300100705	0.251762336354481	0.508559919436052	0.0040281973816717
80	20	1	0	0.509	0.019	0.509	0.509	0.137	0.025	0.386	0.183	0.201	0.509	0.001
160	20	1	0	0.509	0.019	0.509	0.509	0.116	0.012	0.318	0.134	0.156	0.509	0.002
320	20	1	0	0.509	0.019	0.509	0.509	0.112	0.008	0.25	0.117	0.148	0.509	0.001
20	40	1	0	0.535388127853881	0.0194063926940639	0.392694063926941	0.535388127853881	0.0262557077625571	0.105022831050228	0.38013698630137	0.172374429223744	0.208904109589041	0.521689497716895	0
40	40	1	0	0.528700906344411	0.0211480362537764	0.518630412890232	0.528700906344411	0.0281973816717019	0.0322255790533736	0.317220543806647	0.125881168177241	0.136958710976838	0.508559919436052	0.00100704934541793
80	40	1	0	0.528	0.022	0.528	0.528	0.021	0.002	0.196	0.051	0.065	0.491	0
160	40	1	0	0.528	0.022	0.528	0.528	0.019	0	0.1	0.024	0.031	0.461	0
320	40	1	0	0.528	0.022	0.528	0.528	0.011	0	0.052	0.015	0.017	0.417	0
20	80	1	0	0.518264840182648	0.023972602739726	0.226027397260274	0.518264840182648	0.00114155251141553	0.0764840182648402	0.278538812785388	0.105022831050228	0.124429223744292	0.479452054794521	0
