n1	n2	d1	d2	sig1	sig2	sdir	sigm	d1.c2	d2.c1	c1.c2	d1.p2	d2.p1	p1.p2	d2.scp1	big2
40	20	0	0.5	1	1	1	1	1	0.6	1	1	1	1	1	1
80	20	0	0.5	1	1	1	1	0.857142857142857	0.285714285714286	1	0.857142857142857	0.857142857142857	1	1	1
160	20	0	0.5	1	1	1	1	0.777777777777778	0	0.888888888888889	0.777777777777778	0.777777777777778	1	1	1
320	20	0	0.5	1	1	1	1	0.666666666666667	0	0.866666666666667	0.666666666666667	0.666666666666667	1	1	1
20	40	0	0.5	1	1	1	1	0.928571428571429	1	1	1	1	1	1	0.0714285714285714
40	40	0	0.5	1	1	1	1	0.941176470588235	0.941176470588235	1	1	0.941176470588235	1	1	0.705882352941177
80	40	0	0.5	1	1	1	1	1	0.846153846153846	1	1	1	1	1	0.923076923076923
160	40	0	0.5	1	1	1	1	0.647058823529412	0.117647058823529	0.941176470588235	0.764705882352941	0.764705882352941	1	1	1
320	40	0	0.5	1	1	1	1	0.571428571428571	0	0.785714285714286	0.642857142857143	0.571428571428571	1	1	1
20	80	0	0.5	1	1	1	1	0.666666666666667	1	1	1	1	1	1	0
40	80	0	0.5	1	1	1	1	0.92	0.96	1	1	1	1	1	0.48
80	80	0	0.5	1	1	1	1	0.888888888888889	0.888888888888889	1	1	1	1	1	0.722222222222222
160	80	0	0.5	1	1	1	1	0.826086956521739	0.478260869565217	0.956521739130435	0.91304347826087	0.91304347826087	1	1	1
320	80	0	0.5	1	1	1	1	0.3	0.05	0.7	0.4	0.4	0.95	1	1
20	160	0	0.5	1	1	1	1	0.272727272727273	1	1	1	1	1	0.954545454545455	0.0454545454545455
40	160	0	0.5	1	1	1	1	0.923076923076923	1	1	1	1	1	1	0.538461538461538
80	160	0	0.5	1	1	1	1	0.7	0.9	1	1	1	1	1	0.9
